id,status,severity,security_severity,type,cwe,owasp_category,file,line,source_ids,snippet,exploit_rationale,recommended_fix
JS-PROD-011,confirmed,HIGH,7.8,Weak Password Hashing,CWE-916,A02:2021-Cryptographic Failures,lib/insecurity.ts,43,codeql:324,export const hash = (data: string) => crypto.createHash('md5').update(data).digest('hex'),User passwords are stored as unsalted MD5 hashes via models/user.ts line 77. Any database disclosure enables rapid offline cracking and credential stuffing.,Use Argon2id or bcrypt with per-password salts and calibrated work factors; migrate existing hashes on next login.
JS-PROD-012,confirmed,HIGH,7.5,Sensitive Field Disclosure,CWE-200,A01:2021-Broken Access Control,routes/currentUser.ts,29,codeql:325,for (const field of requestedFields) { if (user?.data[field as keyof typeof user.data] !== undefined) { baseUser[field] = user?.data[field as keyof typeof user.data] } },"Authenticated users can request arbitrary fields from their in-memory user object. The object is populated from SELECT * at login and includes password hash, role, deluxeToken, isActive, and TOTP secret.",Ignore caller-selected fields for sensitive objects; return a fixed DTO allowlist and never cache password/TOTP secrets in authenticated session state.
JS-PROD-013,confirmed,MEDIUM,6.5,Insecure Cookie Attributes / CSRF Exposure,CWE-614,A05:2021-Security Misconfiguration,lib/insecurity.ts,195,codeql:327,"res.cookie('token', token)","JWT cookies are set without HttpOnly, Secure, or SameSite. Combined with permissive CORS in server.ts lines 181-182 and cookie-authenticated state-changing routes, token theft and cross-site request abuse are plausible.","Set HttpOnly, Secure, SameSite=Lax/Strict, enforce HTTPS/HSTS, restrict CORS origins, and add CSRF tokens for cookie-authenticated state changes."
JS-PROD-014,confirmed,LOW,3.1,Open Redirect,CWE-601,A01:2021-Broken Access Control,lib/insecurity.ts,138,codeql:326,allowed = allowed || url.includes(allowedUrl),The redirect allowlist checks substrings rather than exact origin/path. A malicious domain containing an allowed URL as a substring can pass and receive the redirect.,"Parse URLs and compare exact scheme, host, port, and approved path prefixes; prefer server-side route names over arbitrary redirect URLs."
JS-PROD-015,confirmed,MEDIUM,6.1,Vulnerable HTML Sanitizer Allows XSS Bypass,CWE-79,A03:2021-Injection,lib/insecurity.ts,60,dependabot:2;dependabot:3,export const sanitizeHtml = (html: string) => sanitizeHtmlLib(html),sanitize-html 1.4.2 is directly used for user-controlled feedback/user fields and has XSS bypass advisories. Tests demonstrate malformed nested tags can survive sanitization as an iframe with javascript: URL.,"Upgrade sanitize-html to the latest 2.x release, add regression tests for known bypasses, and rely on contextual output encoding in the Angular frontend."
JS-PROD-016,needs_review,HIGH,7.5,JWT Legacy Key Type / Algorithm Enforcement Ambiguity,CWE-327,A02:2021-Cryptographic Failures,lib/insecurity.ts,191,dependabot:8,"jwt.verify(token, publicKey, (err: Error | null, decoded: any) => { ... })","The vulnerable jsonwebtoken version is reachable in token verification and algorithms are not explicitly allowed. Exploitability of GHSA-8cf7-32gw-wr33 depends on accepted key types and runtime parsing of the configured RSA public key, so it requires dynamic verification.",Upgrade jsonwebtoken and pass algorithms: ['RS256'] plus issuer/audience validation. Add negative tests for none/HS256/legacy-key tokens.
JS-PROD-017,false_positive,INFO,0.0,sanitize-html transformTags XSS advisory,CWE-79,A03:2021-Injection,lib/insecurity.ts,60,dependabot:18,sanitizeHtmlLib(html),The specific GHSA-qhxp-v273-g94h advisory requires use of the custom transformTags option. Repository usage calls sanitizeHtmlLib without transformTags.,No action for this advisory; keep the general sanitizer upgrade tracked by JS-PROD-015.
JS-PROD-018,false_positive,INFO,0.0,express-jwt jwks-rsa algorithm bypass advisory,CWE-287,A07:2021-Identification and Authentication Failures,lib/insecurity.ts,54,dependabot:4,export const isAuthorized = () => expressJwt(({ secret: publicKey }) as any),The cited GHSA-6g6m-m6h5-w9gf exploit condition involves jwks-rsa key retrieval. This application passes a static secret/public key and does not use jwks-rsa. JWT risk remains covered by JS-PROD-003/016.,No action for this exact advisory beyond upgrading auth libraries as part of JS-PROD-003.
JS-PROD-019,false_positive,INFO,0.0,sanitize-html option-specific advisories not reachable,CWE-20,A06:2021-Vulnerable and Outdated Components,lib/insecurity.ts,60,dependabot:6;dependabot:7;dependabot:11,sanitizeHtmlLib(html),These advisories require allowedIframeHostnames/allowIframeRelativeUrls or style attribute configurations. Repository usage does not configure those options.,No action for these exact advisories; general package upgrade is still recommended in JS-PROD-015.
JS-PROD-020,false_positive,INFO,0.0,jsonwebtoken key retrieval function advisory,CWE-287,A07:2021-Identification and Authentication Failures,lib/insecurity.ts,191,dependabot:9,"jwt.verify(token, publicKey, ...)","GHSA-hjrf-2m68-5959 depends on a poorly implemented key retrieval function. This code passes a static publicKey, not a retrieval callback.",No action for this exact advisory; upgrade jsonwebtoken for the confirmed advisories.
JS-PROD-021,false_positive,INFO,0.0,Dependency Denial-of-Service advisories excluded from prioritized findings,CWE-400,A06:2021-Vulnerable and Outdated Components,server.ts,681,dependabot:12;dependabot:13;dependabot:14;dependabot:15;dependabot:16;dependabot:17;dependabot:19;dependabot:20;dependabot:21;dependabot:22,"const uploadToMemory = multer({ storage: multer.memoryStorage(), limits: { fileSize: 200000 } }); app.get('/metrics', metrics.serveMetrics())","Multer, file-type, socket.io, and sanitize-html ReDoS advisories are dependency DoS conditions. Although some packages are reachable, the review policy hard-excludes DoS/resource-exhaustion findings without demonstrated significant business impact or a non-DoS security consequence.","Upgrade dependencies during maintenance, but do not prioritize as exploitable security findings under the stated policy."
